entropy,id,method,t,truth,user_id,y
0.13375689309962974,0,BIM,6441,1,0,0
0.3018758179438709,1,NONE,5436,0,0,0
0.13375689309962974,2,BIM_ENTROPY,4641,1,0,1
0.5801053679489043,3,BIM,3142,1,0,1
0.5067728548897663,4,BIM,3973,1,0,1
0.617476314582611,5,BIM,5843,1,0,0
0.211127392311048,6,BIM_ENTROPY,2299,1,0,1
0.11083768637934698,7,BIM,1185,1,0,1
0.0685786512455118,8,NONE,2361,0,0,0
0.8492186888289841,9,BIM_ENTROPY,5703,1,0,0
0.7632017538953703,10,BIM,5998,1,0,0
0.2009597208084921,11,NONE,4459,0,0,0
0.23736870952226485,12,BIM,1122,1,0,1
0.8492186888289841,13,BIM,4026,1,0,1
0.6980794398272951,14,NONE,3055,0,0,0
0.4418854375230702,15,BIM,5163,1,0,1
0.13977472287782014,16,BIM_ENTROPY,2810,1,0,1
0.4900280757485934,17,BIM_ENTROPY,4030,1,0,1
0.2764174897372513,18,BIM_ENTROPY,4474,1,0,0
0.17553494927349805,19,BIM_ENTROPY,5509,1,0,1
0.8175859330432546,20,BIM_ENTROPY,3146,1,0,1
0.09484233957114574,21,BIM_ENTROPY,1478,1,0,1
0.8828089171262067,22,BIM_ENTROPY,2866,1,0,1
0.8368362769991388,23,BIM_ENTROPY,5990,1,0,0
0.15080368228543306,24,NONE,5646,0,0,1
0.184337982796613,25,NONE,5734,0,0,1
0.8175859330432546,26,NONE,3686,0,0,0
0.3962371785550497,27,BIM_ENTROPY,4310,1,0,1
0.4189438596883704,28,NONE,6673,0,0,1
0.2479949888703705,29,BIM_ENTROPY,4948,1,0,1
0.1170009284012483,30,BIM_ENTROPY,1446,1,0,1
0.13092694712587108,31,BIM_ENTROPY,5751,1,0,0
0.2961376270958938,32,NONE,3718,0,0,0
0.3294929586917372,33,NONE,5342,0,0,1
0.12390241719891275,34,BIM,1553,1,0,1
0.07150926723414727,35,BIM,1171,1,0,1
0.2961376270958938,36,BIM,2322,1,0,1
0.2450755584389437,37,BIM_ENTROPY,1649,1,0,1
0.692889341282536,38,NONE,6085,0,0,0
0.3235534278140065,39,NONE,4044,0,0,1
0.3831612621782754,40,BIM_ENTROPY,4969,1,0,1
0.374201630854241,41,BIM_ENTROPY,3806,1,0,1
0.5341550989362535,42,BIM_ENTROPY,2887,1,0,0
0.5733269202805338,43,NONE,5309,0,0,0
0.13092694712587108,44,NONE,3997,0,0,0
0.19960626838625967,45,BIM,1437,1,0,1
0.2764174897372513,46,BIM,4134,1,0,1
0.3867853827138399,47,BIM,1461,1,0,1
0.15494233845259,48,BIM_ENTROPY,2574,1,0,1
0.19735797138734465,49,NONE,4456,0,0,1
0.8368362769991388,50,BIM,3621,1,0,1
0.3838100244963703,51,NONE,4475,0,0,1
0.3189114215724657,52,BIM,3916,1,0,1
0.5456202950749992,53,NONE,7017,0,0,0
0.720416997572734,54,BIM,4801,1,0,0
0.7761770002572678,55,BIM_ENTROPY,5097,1,0,0
0.26251384212704554,56,BIM_ENTROPY,2301,1,0,1
0.0685786512455118,57,BIM_ENTROPY,1862,1,0,1
0.5067728548897663,58,NONE,4707,0,0,0
0.2587107526761446,59,BIM,1686,1,0,1
0.09484233957114574,60,BIM,1956,1,0,1
0.5456202950749992,61,BIM_ENTROPY,4321,1,0,0
0.48331674142347403,62,BIM,2943,1,0,1
0.3962371785550497,63,BIM,2036,1,0,1
0.530340823928144,64,NONE,5899,0,0,0
0.530340823928144,65,BIM,6489,1,0,0
0.720416997572734,66,NONE,4432,0,0,0
0.4418854375230702,67,BIM_ENTROPY,4826,1,0,1
0.5931141709824275,68,BIM_ENTROPY,5050,1,0,0
0.8828089171262067,69,BIM,5923,1,0,0
0.5733269202805338,70,BIM,6149,1,0,0
0.3018758179438709,71,BIM_ENTROPY,5486,1,0,1
0.2574020424827463,72,NONE,5255,0,0,0
0.35734499614098275,73,BIM_ENTROPY,2992,1,0,0
0.15080368228543306,74,BIM,1308,1,0,1
0.17553494927349805,75,BIM,1924,1,0,1
0.5173320208946208,76,BIM,4731,1,0,1
0.08667688280891712,77,BIM,1522,1,0,1
0.2450755584389437,78,NONE,4605,0,0,0
0.617476314582611,79,NONE,5501,0,0,0
0.5173320208946208,80,NONE,6417,0,0,0
0.19960626838625967,81,NONE,3527,0,0,0
0.5307323184304427,82,BIM_ENTROPY,4918,1,0,0
0.19960626838625967,83,BIM_ENTROPY,1355,1,0,1
0.09484233957114574,84,NONE,5455,0,0,0
0.259538483909576,85,BIM_ENTROPY,3685,1,0,1
0.2981510273934296,86,BIM_ENTROPY,1467,1,0,1
0.184337982796613,87,BIM,1742,1,0,1
0.2510933882171341,88,BIM,1705,1,0,1
0.3838100244963703,89,BIM,1393,1,0,1
0.3139897764007114,90,BIM_ENTROPY,5877,1,0,0
0.9154707441751212,91,BIM_ENTROPY,5606,1,0,1
0.3139897764007114,92,NONE,4065,0,0,0
0.1170009284012483,93,NONE,5172,0,0,0
0.6578673616626213,94,BIM,6313,1,0,0
0.5350723146273532,95,BIM_ENTROPY,1557,1,0,1
0.09051352893144372,96,NONE,3696,0,0,0
0.13092694712587108,97,BIM,1290,1,0,1
0.16092661155915486,98,BIM,1560,1,0,1
0.3756893099629758,99,BIM,7500,1,0,0
0.19735797138734465,100,BIM,2510,1,0,1
0.692889341282536,101,BIM_ENTROPY,4482,1,0,0
0.374201630854241,102,NONE,5802,0,0,0
0.2009597208084921,103,BIM,3386,1,0,1
0.5733269202805338,104,BIM_ENTROPY,5490,1,0,0
0.15494233845259,105,NONE,3063,0,0,1
0.13977472287782014,106,BIM,2525,1,0,1
0.23736870952226485,107,NONE,6418,0,0,0
0.3661704007785148,108,NONE,6217,0,0,0
0.5350723146273532,109,NONE,4715,0,0,0
0.12330958266686055,110,BIM_ENTROPY,1265,1,0,1
0.2981510273934296,111,BIM,1656,1,0,1
0.3831612621782754,112,BIM,1639,1,0,1
0.6578673616626213,113,NONE,4769,0,0,0
0.211127392311048,114,NONE,4575,0,0,0
0.15494233845259,115,BIM,1037,1,0,1
0.35734499614098275,116,NONE,4536,0,0,0
0.5307323184304427,117,NONE,5607,0,0,0
0.7761770002572678,118,NONE,10290,0,0,0
0.6980794398272951,119,BIM_ENTROPY,5341,1,0,0
0.09841053232066756,120,NONE,4569,0,0,0
0.07150926723414727,121,NONE,3941,0,0,0
0.3962371785550497,122,NONE,6448,0,0,0
0.11083768637934698,123,BIM_ENTROPY,1594,1,0,1
0.3235534278140065,124,BIM,1311,1,0,1
0.1803894811020011,125,BIM_ENTROPY,5660,1,0,0
0.08667688280891712,126,NONE,2386,0,0,0
0.3189114215724657,127,BIM_ENTROPY,6076,1,0,0
0.32777038288162325,128,BIM,2766,1,0,1
0.6578673616626213,129,BIM_ENTROPY,5871,1,0,0
0.9154707441751212,130,NONE,4941,0,0,1
0.4900280757485934,131,NONE,4319,0,0,0
0.7624523215623986,132,BIM_ENTROPY,9632,1,0,0
0.17553494927349805,133,NONE,5212,0,0,0
0.3756893099629758,134,BIM_ENTROPY,5692,1,0,0
0.3235534278140065,135,BIM_ENTROPY,5648,1,0,0
0.3661704007785148,136,BIM,2280,1,0,1
0.3661704007785148,137,BIM_ENTROPY,5613,1,0,0
0.3189114215724657,138,NONE,4747,0,0,0
0.4189438596883704,139,BIM,3081,1,0,1
0.15080368228543306,140,BIM_ENTROPY,4160,1,0,1
0.12825359895303184,141,NONE,4610,0,0,0
0.720416997572734,142,BIM_ENTROPY,6553,1,0,0
0.3831612621782754,143,NONE,4510,0,0,0
0.5307323184304427,144,BIM,2425,1,0,1
0.14213487544882047,145,BIM,3147,1,0,1
0.48331674142347403,146,BIM_ENTROPY,2389,1,0,1
0.530340823928144,147,BIM_ENTROPY,5740,1,0,1
0.3294929586917372,148,BIM,1699,1,0,1
0.09841053232066756,149,BIM_ENTROPY,1586,1,0,1
0.32777038288162325,150,NONE,4393,0,0,0
0.5341550989362535,151,NONE,6359,0,0,0
0.7624523215623986,152,BIM,6335,1,0,0
0.1803894811020011,153,BIM,4992,1,0,1
0.11083768637934698,154,NONE,5977,0,0,1
0.35734499614098275,155,BIM,3218,1,0,1
0.5341550989362535,156,BIM,4318,1,0,1
0.6980794398272951,157,BIM,5739,1,0,1
0.5350723146273532,158,BIM,1314,1,0,1
0.5931141709824275,159,NONE,3686,0,0,0
0.26251384212704554,160,BIM,962,1,0,1
0.3139897764007114,161,BIM,1364,1,0,1
0.3838100244963703,162,BIM_ENTROPY,3720,1,0,1
0.3294929586917372,163,BIM_ENTROPY,5828,1,0,0
